,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS
RM,13.66,120.58,90.37,73.01,426.81,103.44,145.77,151.21,186.00,46.98,90.67,68.29,34.30,25.59,31.34,20.77,17.95,32.30,22.40,13.01,21.21,7.19,7.08,19.22,25.80,375.00,404.70,456.96,336.25,186.57,193.32,50.81,69.80,81.77,15.41,5.76,14.02,4.82,35.22,15.45,18.81,56.86,26.66,5.09,12.43,7.12
EN,143.01,22.36,102.64,95.79,932.64,154.56,275.33,485.12,595.94,107.69,121.88,132.39,58.59,47.17,69.24,25.65,37.67,71.06,34.92,18.62,32.24,8.84,13.02,33.20,40.47,962.23,1077.47,940.98,825.87,274.89,221.60,82.59,109.71,146.66,30.65,8.48,27.71,6.76,32.25,39.21,45.20,119.40,71.52,12.76,38.69,15.35
EP,95.33,93.21,14.80,55.04,725.56,86.98,137.53,304.45,331.45,73.53,56.03,49.61,30.02,16.84,26.08,8.47,15.84,42.53,19.28,17.52,25.22,8.93,6.96,31.32,15.27,586.10,678.24,436.35,437.56,133.63,76.03,37.30,38.59,52.76,5.22,4.47,16.70,3.57,13.67,8.95,13.30,72.41,34.29,8.13,29.75,9.15
NB,76.51,90.87,55.80,16.54,199.83,70.31,92.74,267.94,243.12,57.51,61.63,49.72,32.92,18.33,26.98,9.42,20.06,34.40,20.58,20.88,26.89,7.60,7.86,20.02,15.54,669.98,763.03,422.56,515.02,165.80,98.77,37.73,31.65,45.82,6.95,6.92,15.45,3.85,16.91,8.39,9.65,95.39,37.13,10.10,38.34,10.50
BK,471.41,996.68,732.94,212.04,46.81,380.49,408.48,580.77,568.42,260.13,309.50,176.58,194.47,151.79,151.02,85.44,160.47,248.41,138.86,175.66,144.58,79.81,52.33,46.93,82.22,1096.92,1078.21,858.61,820.37,347.37,276.43,147.80,121.16,129.30,40.83,57.47,130.86,50.82,126.50,35.51,43.68,168.45,172.80,56.75,78.80,71.95
AS,112.37,135.08,85.35,65.27,349.18,17.25,95.07,261.36,256.04,68.27,99.25,72.32,51.53,35.54,37.45,21.20,37.51,47.64,25.62,25.05,24.76,9.41,6.58,16.74,31.27,716.57,795.02,492.26,553.03,233.05,133.22,35.66,43.21,45.97,10.16,10.03,20.04,7.65,31.60,10.70,15.02,64.37,45.16,9.71,26.94,15.33
MA,164.04,286.29,126.17,90.90,397.41,95.97,33.69,207.13,241.18,77.62,171.92,157.46,124.67,99.22,109.97,56.72,84.06,119.50,158.34,183.62,153.47,53.38,41.58,63.72,53.26,1090.38,1263.91,870.28,929.43,406.94,236.62,83.93,83.11,92.98,25.69,25.48,67.86,61.57,267.01,32.86,35.04,123.72,68.47,25.38,32.52,26.42
19,168.06,500.51,311.52,276.25,538.51,266.60,200.69,35.93,56.77,43.17,183.63,182.52,235.66,205.24,214.21,158.59,219.53,345.00,329.98,391.72,322.48,155.52,111.45,180.51,64.65,1370.82,1528.40,950.90,1068.62,466.34,340.81,180.79,136.33,160.69,78.69,71.65,231.04,171.97,277.18,72.39,70.52,96.14,141.04,97.12,36.83,81.25
12,205.84,612.41,315.88,248.76,490.42,245.13,233.14,55.69,41.05,44.90,229.94,298.21,350.22,325.44,290.09,175.41,213.73,316.08,331.81,399.44,289.00,147.15,115.96,155.99,97.54,1304.39,1323.50,975.06,1004.59,344.66,318.17,177.15,180.19,204.12,134.58,112.73,233.62,172.19,355.89,89.90,86.92,135.02,157.23,117.31,54.99,60.10
LM,45.42,107.84,77.24,60.66,246.19,67.93,77.15,47.98,46.64,21.68,185.10,259.34,309.60,272.34,168.29,93.38,120.77,151.48,36.69,27.84,29.11,10.36,11.38,32.49,40.02,850.70,1004.17,730.46,648.12,247.95,155.06,63.06,87.99,102.24,9.93,127.93,193.51,14.03,57.78,14.24,16.59,38.03,21.93,80.25,25.51,70.29
FV,91.15,118.96,59.09,67.79,305.05,97.42,178.84,199.63,239.56,165.69,29.22,268.35,237.36,239.05,204.70,91.17,80.54,143.17,45.52,28.75,41.12,16.84,25.77,49.79,103.68,907.28,1014.35,919.18,875.95,319.84,228.44,72.81,97.00,120.14,11.06,63.02,126.46,10.44,56.17,17.70,26.09,71.56,26.28,63.12,13.40,40.53
CL,72.06,138.52,49.20,53.62,174.34,74.95,167.71,203.15,323.94,222.83,260.71,24.89,160.89,203.73,162.65,93.16,113.95,171.92,64.25,52.46,57.99,32.48,24.02,43.55,97.85,603.81,573.93,545.83,448.41,160.49,130.44,71.00,77.71,134.11,16.48,64.80,195.82,21.42,105.05,24.66,27.66,41.83,32.22,93.51,33.85,81.59
SL,37.30,64.74,31.53,35.39,194.55,52.81,129.57,252.32,359.07,311.39,238.48,169.91,17.42,127.55,168.22,72.57,87.58,142.04,30.52,24.59,26.77,7.39,6.96,23.09,41.79,741.41,800.40,616.79,539.82,163.52,104.21,42.90,74.11,99.05,11.00,43.92,101.23,8.68,44.79,16.06,14.58,47.88,11.76,52.81,9.87,36.64
BF,24.38,44.13,16.20,20.31,150.36,33.05,102.13,212.02,317.77,259.03,232.05,202.64,124.97,18.56,126.40,76.98,105.40,208.39,24.18,11.86,11.99,4.32,2.92,13.27,33.18,710.34,717.11,577.88,475.69,139.33,87.12,37.96,50.89,77.20,10.03,58.48,154.69,5.20,19.00,10.76,18.14,31.90,10.72,86.39,7.28,37.47
HY,35.28,78.42,26.77,28.83,142.13,39.39,110.09,218.63,279.26,156.03,214.21,177.51,187.02,134.63,20.08,107.10,207.05,319.86,27.29,19.48,21.04,5.63,4.77,18.44,32.39,502.39,530.96,369.28,328.43,88.89,60.37,29.29,40.36,55.13,6.19,23.07,65.27,10.29,47.05,8.49,13.03,24.46,7.76,36.85,12.44,53.99
SH,19.63,28.64,8.72,11.63,76.99,21.79,53.43,149.19,161.72,84.59,90.77,89.70,68.91,74.18,90.73,11.55,83.41,162.20,9.58,7.96,12.52,1.53,2.36,6.28,15.95,406.47,381.21,230.50,238.04,77.26,44.74,12.41,22.44,43.69,4.29,13.18,33.66,2.89,15.44,6.70,7.60,15.95,6.54,22.43,6.43,31.17
UC,20.51,38.51,17.36,18.87,160.59,41.80,84.35,221.80,207.85,117.24,85.82,117.55,90.77,107.23,207.81,85.26,23.65,198.16,15.37,15.83,16.82,3.52,4.52,10.23,12.47,975.32,815.91,369.29,327.78,82.25,39.92,12.77,23.32,58.03,4.91,17.40,58.67,4.70,25.01,6.35,5.68,28.00,5.41,21.91,17.56,34.84
FM,35.05,76.57,43.70,35.78,254.93,46.02,121.60,346.17,305.83,150.31,154.75,175.32,146.21,217.73,319.20,174.96,187.31,52.47,27.38,30.93,22.69,9.93,14.44,24.39,18.74,1632.91,1294.71,522.78,419.27,120.13,42.19,29.70,33.10,57.85,9.24,34.59,95.56,8.37,42.90,5.56,6.76,46.08,6.94,36.63,30.33,41.14
CN,24.45,35.34,18.98,22.86,136.82,25.92,165.24,322.12,333.08,34.37,42.49,64.44,30.01,23.02,27.82,10.09,15.74,28.98,27.89,107.65,264.99,87.66,42.61,97.99,19.69,919.37,960.13,565.21,516.16,144.33,86.58,46.00,55.53,94.82,25.58,6.78,9.89,53.20,314.56,27.49,24.88,129.57,32.46,3.56,33.79,8.14
