Id,Latitude,Longitude
BP10,1.384533,103.770706
BP11,1.387785,103.769665
BP12,1.386726,103.764539
BP13,1.382723,103.76231
BP14,1.380289,103.760094
BP2,1.380297,103.745236
BP3,1.378577,103.749065
BP4,1.376716,103.753679
BP5,1.378507,103.757587
BP7,1.377743,103.766628
BP8,1.376195,103.771255
BP9,1.380097,103.772672
CC10/DT26,1.326708,103.889894
CC11,1.335882,103.887719
CC12,1.342877,103.879641
CC14,1.351501,103.864945
CC16,1.349012,103.839111
CC17,1.337598,103.839602
CC19/DT9,1.322316,103.81493
CC2,1.296943,103.850735
CC20,1.317568,103.807709
CC21,1.311147,103.796141
CC22/EW21,1.307291,103.790049
CC23,1.299813,103.787592
CC24,1.293592,103.784453
CC25,1.28311,103.781985
CC26,1.276073,103.791905
CC27,1.272127,103.802558
CC28,1.270716,103.80988
CC3,1.29394,103.855376
CC4/DT15,1.294001,103.860178
CC5,1.30021,103.863468
CC6,1.302783,103.875407
CC7,1.306085,103.883154
CC8,1.308408,103.888815
CE1/DT16,1.281342,103.858956
CG1/DT35,1.334399,103.961485
CG2,1.357599,103.988493
DT1/BP6,1.378603,103.761434
DT10,1.319968,103.825948
DT13,1.303534,103.852563
DT17,1.27946,103.852814
DT18,1.282221,103.848597
DT2,1.369984,103.764585
DT20,1.292341,103.844084
DT21,1.29846,103.849977
DT22,1.305511,103.855433
DT23,1.313618,103.863066
DT24,1.321415,103.871481
DT25,1.326841,103.883308
DT27,1.329923,103.898934
DT28,1.334917,103.908967
DT29,1.335248,103.918046
DT3,1.362229,103.767082
DT30,1.336539,103.933095
DT31,1.345512,103.938244
DT33,1.356254,103.95547
DT34,1.341632,103.961459
DT5,1.341554,103.775749
DT6,1.335693,103.783193
DT7,1.33118,103.7972
DT8,1.3258,103.80796
EW1,1.373193,103.949353
EW10,1.311479,103.871352
EW11,1.307428,103.862849
EW12/DT14,1.300664,103.855862
EW13/NS25,1.293081,103.852072
EW14/NS26,1.28397,103.851543
EW15,1.276343,103.846792
EW16/NE3,1.28025,103.839461
EW17,1.286503,103.826977
EW18,1.289643,103.816799
EW19,1.294839,103.805901
EW2/DT32,1.354504,103.942756
EW20,1.30241,103.798317
EW22,1.311393,103.778606
EW23,1.314864,103.76533
EW24/NS1,1.333145,103.742329
EW25,1.342426,103.732594
EW26,1.344246,103.720776
EW27,1.338559,103.705829
EW28,1.337602,103.697411
EW29,1.327738,103.678321
EW3,1.343164,103.953355
EW30,1.319762,103.660834
EW31,1.321029,103.649075
EW32,1.329992,103.639616
EW33,1.340252,103.63672
EW4,1.32725,103.946492
EW5,1.324013,103.930179
EW6,1.321002,103.912904
EW7,1.319736,103.90289
EW8/CC9,1.31816,103.893142
EW9,1.316427,103.882817
NE1/CC29,1.265396,103.820516
NE10,1.331277,103.86879
NE11,1.339128,103.870738
NE12/CC13,1.349786,103.873635
NE13,1.360178,103.885163
NE14,1.371336,103.892546
NE15,1.382953,103.893359
NE16/STC,1.391663,103.895459
NE17/PTC,1.405169,103.902358
NE4/DT19,1.284492,103.843595
NE5,1.288163,103.846699
NE7/DT12,1.306652,103.849407
NE8,1.312613,103.854866
NE9,1.320039,103.861623
NS10,1.440619,103.800968
NS11,1.449094,103.82005
NS12,1.443315,103.829564
NS13,1.429444,103.835006
NS14,1.41735,103.832974
NS15,1.381722,103.844935
NS16,1.369974,103.849589
NS17/CC15,1.350844,103.848172
NS18,1.340543,103.847081
NS19,1.332332,103.847428
NS2,1.349073,103.749636
NS20,1.320026,103.843385
NS21/DT11,1.313792,103.838034
NS22,1.304011,103.831783
NS23,1.300445,103.83844
NS24/NE6/CC1,1.299096,103.845796
NS27/CE2,1.276427,103.854598
NS28,1.271394,103.863591
NS3,1.358916,103.751833
NS4/BP1,1.384815,103.744493
NS5,1.397332,103.747502
NS7,1.42523,103.762028
NS8,1.432559,103.774162
NS9/TE2,1.436941,103.786398
PE1,1.39935,103.905935
PE2,1.396968,103.908882
PE3,1.393857,103.912623
PE4,1.394479,103.916079
PE5,1.399553,103.916549
PE6,1.402309,103.912735
PE7,1.405275,103.908617
PW1,1.409756,103.904901
PW3,1.41688,103.906671
PW4,1.415914,103.902175
PW5,1.411855,103.900322
PW6,1.408423,103.898609
PW7,1.405384,103.897287
SE1,1.39456,103.900443
SE2,1.391507,103.90597
SE3,1.38801,103.905426
SE4,1.383885,103.902172
SE5,1.384052,103.897399
SW1,1.396329,103.893801
SW2,1.397164,103.889224
SW3,1.398219,103.881295
SW4,1.397317,103.87562
SW5,1.391941,103.876277
SW6,1.392106,103.880041
SW7,1.389446,103.885813
SW8,1.386731,103.890521
