,BP10,BP11,BP12,BP13,BP2,BP3,BP4,BP5,BP7,BP8,BP9,CC10/DT26,CC11,CC12,CC14,CC16,CC17,CC19/DT9,CC2,CC20,CC21,CC22/EW21,CC23,CC24,CC25,CC26,CC27,CC28,CC3,CC4/DT15,CC5,CC6,CC7,CC8,CE1/DT16,CG1/DT35,CG2,DT1/BP6,DT10,DT13,DT17,DT18,DT2,DT20,DT21,DT22,DT23,DT24,DT25,DT27,DT28,DT29,DT3,DT30,DT31,DT33,DT34,DT5,DT6,DT7,DT8,EW1,EW10,EW11,EW12/DT14,EW13/NS25,EW14/NS26,EW15,EW16/NE3,EW17,EW18,EW19,EW2/DT32,EW20,EW22,EW23,EW24/NS1,EW25,EW26,EW27,EW28,EW29,EW3,EW30,EW31,EW32,EW33,EW4,EW5,EW6,EW7,EW8/CC9,EW9,NE1/CC29,NE10,NE11,NE12/CC13,NE13,NE14,NE15,NE16/STC,NE17/PTC,NE4/DT19,NE5,NE7/DT12,NE8,NE9,NS10,NS11,NS13,NS14,NS15,NS16,NS17/CC15,NS18,NS19,NS2,NS20,NS21/DT11,NS22,NS23,NS24/NE6/CC1,NS27/CE2,NS28,NS3,NS4/BP1,NS5,NS7,NS8,NS9,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PW1,PW3,PW4,PW5,PW6,PW7,SE1,SE2,SE3,SE4,SE5,SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8
BP10,0,1031,1175,1180,1686,2215,1895,6734,4103,11388,7227,0,3,1,8,1,0,2,0,2,7,202,9,30,0,8,4,1,0,1,1,1,1,0,2,0,9,30597,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,16,33,34,36,51,14,176,129,194,3,168,189,944,6054,73,740,1096,654,906,3,315,173,245,137,6,21,2,3,11,7,14,0,0,2,1,0,0,0,3,5,1,2,2,2,654,563,462,249,440,363,66,17,28,1236,10,3,13,7,7,0,1,841,8008,1521,672,328,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BP11,3017,0,420,763,1122,1623,1353,4389,1916,6153,4477,0,1,1,1,1,1,0,1,2,4,161,16,49,1,2,0,3,3,1,1,0,0,2,1,1,2,24458,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,10,11,14,43,14,50,26,135,155,241,6,180,198,1274,6171,42,630,1164,655,1024,8,204,135,72,60,3,18,3,7,13,5,7,0,0,7,4,1,0,1,2,3,1,1,0,2,981,580,488,267,351,339,37,11,32,1121,16,3,13,6,6,0,1,831,6915,1387,474,349,819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BP12,3882,1540,0,772,1089,1926,950,2989,1179,4574,4788,1,0,1,0,0,0,0,0,3,1,73,18,3,1,2,0,0,0,1,0,0,1,0,0,0,0,15447,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,2,8,8,16,15,15,15,144,170,136,1,111,187,691,3459,23,317,609,537,641,1,132,154,95,57,3,4,2,15,13,11,12,0,0,3,0,0,0,0,0,2,0,3,1,1,629,556,441,265,297,157,41,20,10,754,4,3,5,1,3,4,1,601,4325,1314,276,265,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BP13,2889,1906,1134,0,410,414,394,798,183,1316,3750,0,1,0,0,2,0,1,0,0,0,43,9,6,1,1,0,0,0,0,0,0,0,0,0,1,0,4267,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,2,2,26,5,73,82,93,1,86,37,367,2076,17,184,404,208,383,0,40,85,100,47,3,4,1,1,4,10,7,0,0,1,0,1,0,0,0,2,0,0,1,0,252,259,178,113,155,94,13,33,15,200,3,0,0,2,0,0,0,241,2086,374,83,46,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BP2,1415,1448,1237,965,0,1205,1532,1751,593,2097,2212,3,33,10,8,16,0,21,3,2,47,449,152,283,37,55,105,11,2,1,0,3,1,2,3,12,54,25342,0,1,0,0,0,1,0,0,0,0,0,2,2,0,0,0,1,2,5,1,0,0,0,16,19,24,59,167,239,391,137,293,247,224,30,318,270,1290,4895,107,453,644,397,506,57,98,73,98,96,46,84,13,38,71,16,193,0,0,34,5,9,2,1,0,28,12,3,6,4,948,481,834,378,332,446,162,95,139,1445,56,12,54,25,30,12,7,647,8661,2338,597,611,1071,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BP3,2171,1913,1980,787,1244,0,694,2248,572,2454,1774,4,69,3,14,3,3,1,2,0,45,751,257,324,62,117,80,10,2,2,2,1,1,4,18,6,21,29706,0,3,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,2,0,1,1,0,1,35,23,79,82,232,250,573,312,477,719,511,36,586,396,2188,8207,161,979,1313,592,732,18,271,227,149,70,30,64,27,19,76,71,152,1,0,41,14,5,1,3,12,60,8,9,6,3,1357,994,1338,610,707,764,257,75,230,1953,54,23,98,38,21,5,6,814,13649,3665,934,1079,2367,0,0,7,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0
BP4,2066,1979,1351,1123,1662,583,0,1038,459,1863,1429,12,18,0,18,1,1,0,0,0,42,546,42,68,3,22,9,51,0,0,2,1,1,5,1,0,25,24470,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,1,0,1,0,0,0,0,1,29,14,52,19,51,49,178,87,1057,945,404,28,827,257,2032,3852,47,688,1099,1117,470,16,33,81,87,20,33,21,7,16,28,18,70,5,0,36,2,5,15,11,6,41,5,4,4,17,4460,2789,3498,1862,845,1281,212,103,136,869,13,6,28,24,12,4,2,615,8207,3526,577,1697,3856,0,1,10,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1
BP5,3458,3473,2397,517,2289,2900,1183,0,324,850,2139,2,0,0,0,2,0,0,0,1,3,107,11,58,0,2,1,1,0,0,0,1,0,1,0,0,8,12466,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,7,5,13,9,11,74,10,131,81,69,9,94,109,497,2462,15,137,361,258,393,10,60,106,23,39,10,8,0,13,15,6,22,1,0,0,0,1,0,0,1,3,2,1,3,0,427,459,471,200,169,182,39,7,11,376,7,3,7,5,2,0,2,239,3828,1083,272,220,455,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BP7,1748,1265,684,171,1021,1025,988,1816,0,252,989,2,5,0,0,0,0,1,0,0,2,34,5,1,0,0,1,1,0,0,0,0,0,0,2,5,1,8047,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,2,11,7,8,7,13,11,93,86,81,9,92,112,452,3831,12,232,616,374,558,0,77,46,101,51,3,3,3,3,5,3,5,0,0,1,0,0,0,0,0,2,1,1,1,0,134,266,97,94,87,94,16,2,13,444,11,1,6,0,1,0,1,466,4051,768,132,92,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BP8,5341,3447,2209,973,2747,2716,1930,2261,1355,0,1230,2,0,0,0,3,0,0,0,0,0,49,11,6,0,0,1,2,0,0,0,5,0,0,0,1,3,11442,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,1,3,4,5,16,3,18,9,74,88,34,2,81,54,364,4187,29,358,820,717,597,1,69,235,204,60,4,22,0,0,6,11,13,0,0,4,3,3,0,0,5,2,2,0,1,1,105,140,131,60,78,86,12,4,15,518,4,1,1,5,2,0,0,465,5579,1460,157,42,92,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
