,Addison Road,Anacostia,Archives-Navy Memorial,Arlington Cemetery,Ballston,Benning Road,Bethesda,Braddock Road,Branch Avenue,Brookland,Capitol Heights,Capitol South,Cheverly,Clarendon,Cleveland Park,College Park-U of MD,Columbia Heights,Congress Heights,Court House,Crystal City,Deanwood,Dunn Loring,Dupont Circle,East Falls Church,Eastern Market,Eisenhower Avenue,Farragut North,Farragut West,Federal Center SW,Federal Triangle,Foggy Bottom,Forest Glen,Fort Totten,Franconia-Springfield,Friendship Heights,Gallery Place-Chinatown,Georgia Avenue-Petworth,Glenmont,Greenbelt,Grosvenor,Huntington,Judiciary Square,King Street,L'Enfant Plaza,Landover,Largo Town Center,McPherson Square,Medical Center,Metro Center,Minnesota Avenue,Morgan Blvd.,Mt. Vernon Square-UDC,Navy Yard,Naylor Road,New Carrollton,New York Ave,Pentagon,Pentagon City,Potomac Avenue,Prince George's Plaza,Reagan Washington National Airport,Rhode Island Avenue,Rockville,Rosslyn,Shady Grove,Shaw-Howard University,Silver Spring,Smithsonian,Southern Avenue,Stadium-Armory,Suitland,Takoma,Tenleytown-AU,Twinbrook,U Street-Cardozo,Union Station,Van Dorn Street,Van Ness-UDC,Vienna,Virginia Square-GMU,Waterfront,West Falls Church,West Hyattsville,Wheaton,White Flint,Woodley Park-Zoo
Addison Road,31.8,40.1,43.1,0.6,31.6,107.2,31.8,7.8,8.9,38.1,74.5,74.0,5.5,9.0,2.4,12.6,44.4,13.8,15.0,30.7,13.2,15.3,43.4,2.7,76.8,8.0,30.5,271.6,78.2,125.9,156.9,3.1,24.5,18.3,27.7,79.7,26.8,7.0,17.7,5.2,11.2,36.8,24.0,120.8,7.1,248.0,161.4,30.0,190.0,42.6,60.7,13.5,16.3,8.1,85.3,35.4,52.3,70.1,65.6,30.2,15.4,28.5,14.5,68.2,21.1,25.3,45.2,84.5,17.4,89.0,5.2,11.4,24.9,9.3,19.1,74.0,9.9,14.8,7.0,6.4,17.4,24.3,8.1,13.4,13.8,12.4
Anacostia,37.3,111.0,326.1,1.7,64.2,77.6,34.8,20.9,89.5,130.1,42.6,26.9,14.2,10.3,12.4,35.2,451.1,95.7,22.3,65.3,53.5,14.9,100.4,8.7,30.1,13.7,152.1,139.1,19.7,54.6,201.3,11.4,177.3,28.2,46.2,562.2,254.2,23.3,56.9,8.5,42.0,84.3,40.1,263.4,24.7,50.5,140.5,47.2,134.9,123.4,14.4,140.0,263.6,136.5,68.6,107.3,139.5,126.1,26.8,91.5,32.9,160.8,18.5,65.7,40.0,210.0,110.1,54.3,117.4,67.5,244.4,46.9,55.5,14.7,193.5,224.9,18.6,56.2,22.2,14.5,226.3,37.7,44.2,25.2,18.3,29.0
Archives-Navy Memorial,46.3,296.8,50.4,11.0,31.9,50.1,27.3,235.7,403.3,19.0,30.3,79.0,31.7,17.7,14.4,215.7,459.8,126.8,20.8,402.6,31.0,16.0,68.9,23.0,74.7,103.2,52.9,24.9,24.7,4.4,47.4,13.0,85.8,238.7,31.7,54.3,176.3,29.5,327.3,19.7,477.2,4.5,261.8,251.6,33.9,98.1,22.9,7.9,22.5,30.7,42.0,92.4,207.3,122.4,147.6,29.8,539.3,571.3,38.6,146.0,82.5,17.4,15.7,50.4,63.2,127.1,52.4,29.6,255.6,33.7,302.2,17.9,20.6,9.7,273.6,128.8,90.9,21.3,72.6,13.6,151.9,51.6,122.0,15.9,8.5,38.2
Arlington Cemetery,1.1,1.4,16.0,20.8,15.6,0.0,10.8,15.5,11.3,3.7,2.1,46.0,1.5,2.7,2.2,9.4,7.8,0.3,15.2,108.7,0.0,9.3,30.0,5.7,7.5,17.1,6.2,41.1,14.5,70.3,75.4,1.4,1.5,40.5,10.1,18.8,1.5,2.0,11.6,2.6,29.8,5.9,61.8,52.0,0.2,4.9,56.5,3.8,96.9,0.4,7.8,4.7,6.4,1.9,16.3,7.0,135.5,93.0,0.8,1.3,16.4,0.6,1.8,79.6,13.0,1.6,12.5,145.0,1.6,1.6,4.1,1.6,3.1,2.9,3.9,62.4,18.9,4.2,31.9,3.2,3.7,13.0,0.4,1.2,3.4,27.0
Ballston,32.6,61.2,39.5,16.0,75.2,20.5,69.2,50.1,55.3,53.5,22.7,172.5,31.8,305.7,29.3,25.3,74.9,16.2,346.2,166.6,21.3,250.8,158.6,151.6,107.6,16.7,21.7,1175.3,128.1,301.3,880.4,20.6,45.1,105.0,55.9,161.0,31.0,58.3,58.9,26.9,95.5,112.7,125.8,261.3,42.7,45.5,782.9,25.7,714.6,29.7,27.6,31.3,147.0,29.8,175.3,87.0,156.5,152.9,58.6,33.6,107.4,29.5,27.2,557.4,92.7,35.7,117.7,248.8,58.0,35.4,60.3,48.1,37.7,24.4,70.0,376.8,37.9,48.0,694.3,31.7,29.4,664.0,23.5,26.6,24.9,73.9
Benning Road,85.4,61.0,40.7,0.3,18.1,46.7,12.5,10.1,12.2,57.5,21.1,33.9,4.4,3.2,4.9,5.6,102.5,15.4,8.1,24.4,7.2,3.1,36.5,1.7,83.9,5.5,19.6,156.5,48.4,50.9,149.8,2.4,42.1,13.1,24.8,79.3,57.5,5.6,11.4,3.6,10.4,45.3,15.8,73.2,7.1,85.1,105.9,11.5,136.8,16.4,22.6,23.5,27.4,14.4,25.5,38.7,33.2,53.4,87.4,28.2,12.4,50.6,7.6,26.6,9.9,52.1,30.8,53.8,25.5,98.1,17.2,16.1,24.9,7.1,52.2,44.5,5.3,24.3,7.0,3.7,41.1,14.2,8.6,8.4,9.7,10.7
Bethesda,30.6,35.1,28.1,5.8,68.9,16.7,45.9,19.3,62.9,58.9,19.6,75.9,11.9,33.2,237.7,33.1,49.6,12.4,60.4,67.4,8.6,18.8,1048.1,12.4,48.2,10.4,1302.6,15.6,73.3,73.8,138.8,6.4,30.5,25.7,524.8,502.6,32.9,10.5,34.9,257.0,34.8,220.6,52.3,131.6,14.5,28.6,44.6,245.5,766.0,11.4,24.0,35.7,126.5,21.6,56.4,106.4,73.0,85.6,30.9,20.6,116.0,59.1,335.2,88.6,530.3,35.7,19.8,151.4,42.2,17.2,42.6,23.8,372.0,321.6,71.3,621.1,14.9,218.8,35.1,19.7,35.5,30.9,17.2,6.9,258.8,391.1
Braddock Road,7.0,19.5,246.2,10.7,53.8,8.6,17.1,22.9,8.6,12.9,5.8,87.2,5.4,25.2,9.2,7.2,56.8,7.0,36.6,144.5,4.2,16.5,68.5,13.0,33.5,30.9,26.5,397.8,31.0,74.7,281.7,3.8,21.0,114.5,15.9,267.9,20.7,10.3,14.7,7.6,147.8,15.5,132.1,264.6,5.0,5.7,235.0,13.4,122.3,7.7,4.8,40.0,99.6,11.5,20.9,36.1,165.5,150.6,12.9,9.4,91.6,9.4,4.8,172.8,14.1,23.4,42.2,65.7,15.7,13.0,22.6,8.1,16.7,8.7,62.2,173.7,67.7,13.4,22.8,14.4,14.4,35.9,6.1,9.0,5.6,21.7
Branch Avenue,11.5,94.6,437.2,7.0,55.7,13.0,58.8,6.8,31.1,41.0,9.1,63.3,4.7,17.6,5.6,29.1,98.5,36.1,21.5,100.5,6.1,13.6,96.4,5.8,16.3,9.3,291.9,240.3,79.3,181.9,210.5,3.5,36.6,15.6,49.1,552.6,45.0,10.1,35.9,10.9,13.8,86.2,26.4,631.5,10.9,28.4,244.2,81.7,190.7,18.1,11.0,63.3,236.2,61.5,41.4,108.0,253.9,116.7,6.9,42.4,36.2,23.5,14.4,117.8,28.0,59.9,91.9,198.7,62.5,11.5,111.8,12.0,36.3,15.3,70.9,268.1,9.5,19.3,16.8,13.1,46.9,27.1,17.8,11.8,23.0,32.1
Brookland,37.8,128.7,21.1,1.2,47.3,63.8,52.7,14.3,41.4,52.9,27.8,24.2,7.0,14.3,24.3,47.6,130.6,54.7,23.6,52.6,17.2,18.7,257.3,14.4,32.7,5.8,431.1,20.6,25.0,38.3,173.6,52.0,172.6,32.8,63.9,374.2,74.9,132.2,78.1,22.4,34.6,195.0,30.8,87.6,13.6,29.0,52.8,35.2,309.9,58.7,7.3,20.5,49.2,31.8,23.6,182.6,66.1,73.7,56.0,63.9,26.8,96.5,28.7,73.2,83.3,31.2,478.5,53.7,63.0,19.3,43.5,162.1,82.0,19.7,70.8,616.2,12.5,48.2,49.3,18.6,47.2,39.4,37.7,115.1,15.8,68.5
